专业, 专业大类, 有该专业的学校数量, 物理, 化学, 生物, 历史, 地理, 政治, 技术, 没有学科要求的学校数量
眼视光医学,眼视光医学,5,3,4,3,0,0,0,0,0
康复工程技术,康复工程技术,5,1,1,1,0,0,0,0,4
集成电路设计与集成系统,集成电路设计与集成系统,21,21,0,0,0,0,0,0,0
能源与环境系统工程,能源动力类,10,10,4,0,0,0,0,2,0
应用化学,应用化学,184,135,176,0,0,0,0,12,0
大数据管理与应用,经济管理试验班,1,0,0,0,0,0,0,0,1
休闲体育(康乐体育),休闲体育(康乐体育),1,0,0,0,0,0,0,0,1
园艺(花卉与景观设计方向),园艺(花卉与景观设计方向),1,0,1,0,0,0,0,0,0
表演(多剧种器乐),表演(多剧种器乐),1,0,0,0,0,0,0,0,1
商科类,商科类,1,0,0,0,0,0,0,0,1
早期教育,早期教育,6,0,0,0,0,0,0,0,6
文物与博物馆学,历史学类,16,0,0,0,15,12,0,0,1
现代教育技术,现代教育技术,2,0,0,0,0,0,0,0,2
网络新闻与传播,网络新闻与传播,1,0,0,0,0,0,0,0,1
创意媒体学院,创意媒体学院,1,0,0,0,0,0,0,0,1
铁道交通运营管理,铁道交通运营管理,12,2,0,0,0,1,0,0,10
广播电视工程,广播电视工程,5,5,0,0,0,0,0,0,0
表演(广告传播),表演(广告传播),1,0,0,0,0,0,0,0,1
汉语言文学,汉语言文学,245,1,0,1,51,31,29,0,194
司法鉴定技术,司法鉴定技术,1,0,0,0,0,0,0,0,1
贸易经济(国际文化贸易),贸易经济(国际文化贸易),1,0,0,0,0,0,0,0,1
思想政治教育(公费师范),思想政治教育(公费师范),1,0,0,0,0,0,1,0,0
数学与应用数学(数学与经济学双学位班),数学与应用数学(数学与经济学双学位班),1,1,0,0,0,0,0,0,0
空中乘务(含航空地服方向),空中乘务(含航空地服方向),1,0,0,0,0,0,0,0,1
